N274,CentavitoNET274,PesoCentavito274,PopoCentavito274,DianitaNET274,PesoDianita274,PopoDianita274,LeticiaNET274,PesoLeticia274,PopoLeticia274,MorochaNET274,PesoMorocha274,PopoMorocha274,MuchiraNET274,PesoMuchira274,PopoMuchira274,SorayaNET274,PesoSoraya274,PopoSoraya274,VivianaNET274,PesoViviana274,PopoViviana274
13,11.8,364.2039903,36.42039903,10.8,433.5240101,43.35240101,3.3,443.4241123,44.34241123,9.6,446.6919753,44.66919753,19.2,336.6627593,33.66627593,11.4,460.529954,46.0529954,13.2,426.1169866,42.61169866
14,10.4,363.7271137,36.37271137,13,434.0523108,43.40523108,13.8,441.761172,44.1761172,16.4,446.7950545,44.67950545,17.2,337.1381924,33.71381924,11.8,460.0787172,46.00787172,16.4,426.4614744,42.64614744
15,11,363.2517069,36.32517069,11.4,434.5969234,43.45969234,13.2,440.1106439,44.01106439,14.8,446.8690332,44.68690332,19,337.6144743,33.76144743,12.8,459.6285844,45.96285844,16.6,426.7862995,42.67862995
16,8.4,362.7778829,36.27778829,10.6,435.1591028,43.51591028,15.6,438.4734826,43.84734826,14,446.9116729,44.69116729,19,338.0916702,33.80916702,8,459.1796407,45.91796407,15.4,427.0899494,42.70899494
17,11.9,362.3057549,36.23057549,11,435.7401037,43.57401037,15.2,436.850643,43.6850643,12.6,446.9207351,44.69207351,18.8,338.5698454,33.85698454,11.6,458.7319708,45.87319708,10.2,427.3709117,42.73709117
18,11.3,361.8354358,36.18354358,11.2,436.3411808,43.63411808,19.4,435.2430798,43.52430798,12.8,446.8939813,44.68939813,19.2,339.0490653,33.90490653,10,458.2856599,45.82856599,7.4,427.6276737,42.76276737
19,10.6,361.3670388,36.13670388,11.6,436.963589,43.6963589,19.4,433.6517479,43.36517479,17,446.829173,44.6829173,20,339.5293951,33.95293951,12.4,457.8407927,45.78407927,8.8,427.858723,42.7858723
20,11.8,360.9006769,36.09006769,11.4,437.6085829,43.76085829,19,432.0776019,43.20776019,16.2,446.7240717,44.67240717,20.2,340.0109001,34.00109001,12,457.3974543,45.73974543,10.2,428.0625471,42.80625471
21,11.4,360.4364632,36.04364632,11.6,438.2774174,43.82774174,14.8,430.5215966,43.05215966,18.6,446.5764389,44.65764389,18.2,340.4936456,34.04936456,12,456.9557295,45.69557295,9.6,428.2376335,42.82376335
22,12.4,359.9745107,35.99745107,11.2,438.9713473,43.89713473,17.2,428.9846869,42.89846869,17,446.3840361,44.63840361,15.8,340.9776969,34.09776969,7.6,456.5157032,45.65157032,13,428.3824696,42.83824696
23,13.4,359.5149325,35.95149325,14,439.6916272,43.96916272,2,427.4678275,42.74678275,14.2,446.1446248,44.61446248,18,341.4631192,34.14631192,11.8,456.0774605,45.60774605,12.2,428.4955429,42.84955429
24,12.4,359.0578417,35.90578417,13.2,440.439512,44.0439512,15.4,425.9719732,42.59719732,19,445.8559665,44.58559665,17.2,341.9499779,34.19499779,13.4,455.6410862,45.56410862,10.4,428.575341,42.8575341
25,12.3,358.6033512,35.86033512,13.8,441.2162565,44.12162565,0,424.4980788,42.44980788,14.8,445.5158227,44.55158227,21.4,342.4383383,34.24383383,12.2,455.2066653,45.52066653,11,428.6203513,42.86203513
26,13.2,358.1515743,35.81515743,13.8,442.0231153,44.20231153,16,423.047099,42.3047099,20.6,445.1219549,44.51219549,15,342.9282656,34.29282656,11,454.7742827,45.47742827,14.6,428.6290612,42.86290612
27,12.8,357.7026239,35.77026239,12.4,442.8613433,44.28613433,15,421.6199886,42.16199886,19.6,444.6721245,44.46721245,17,343.4198251,34.34198251,8.4,454.3440233,45.43440233,11.5,428.5999584,42.85999584
28,13.4,357.2566131,35.72566131,9.8,443.7321952,44.37321952,16.2,420.2177024,42.02177024,16.8,444.1640932,44.41640932,16.6,343.9130821,34.39130821,13.2,453.9159721,45.39159721,12.4,428.5315302,42.85315302
29,12,356.813655,35.6813655,13,444.6366977,44.46366977,16.8,418.8411952,41.88411952,21,443.5963823,44.35963823,18.4,344.408102,34.4408102,11.4,453.4902139,45.34902139,12.6,428.4222641,42.84222641
30,13,356.3738626,35.63738626,14.2,445.5735228,44.55735228,15.2,417.4914217,41.74914217,17,442.9754522,44.29754522,20.4,344.9049499,34.49049499,14.6,453.0668338,45.30668338,13.6,428.2706477,42.82706477
31,15.2,355.937349,35.5937349,14.6,446.5399533,44.65399533,15.8,416.1693368,41.61693368,18.2,442.3124384,44.23124384,21.2,345.4036912,34.54036912,12.8,452.6459166,45.26459166,13.2,428.0751685,42.80751685
32,12.2,355.5042272,35.55042272,14.2,447.5332541,44.75332541,16,414.8758951,41.48758951,18,441.6185336,44.16185336,21,345.9043912,34.59043912,11.4,452.2275472,45.22275472,12.66,427.8346067,42.78346067
33,10.4,355.0746104,35.50746104,11.8,448.55069,44.855069,13.4,413.6120516,41.36120516,14.4,440.9049303,44.09049303,20.8,346.4071152,34.64071152,11.4,451.8118107,45.18118107,12.2,427.5512347,42.75512347
34,13.4,354.6486115,35.46486115,15.4,449.589526,44.9589526,14.6,412.3787609,41.23787609,12.2,440.1828212,44.01828212,18,346.9119284,34.69119284,11.4,451.3987919,45.13987919,13.6,427.2295714,42.72295714
35,14,354.2263436,35.42263436,14.6,450.6470269,45.06470269,7.8,411.1769778,41.11769778,14.4,439.4633988,43.94633988,18.4,347.4188962,34.74188962,10.8,450.9885757,45.09885757,10.4,426.8741698,42.68741698
36,13.2,353.8079199,35.38079199,14,451.7204575,45.17204575,14.4,410.0076571,41.00076571,13.6,438.7578556,43.87578556,18.4,347.9280838,34.79280838,12.2,450.5812472,45.05812472,6.6,426.4895829,42.64895829
37,13,353.3934533,35.33934533,12.6,452.8070828,45.28070828,15.4,408.8717537,40.88717537,15.2,438.0773844,43.80773844,9.8,348.4395565,34.84395565,12,450.1768911,45.01768911,13,426.0803635,42.60803635
38,13.1,352.9830569,35.29830569,17,453.9041677,45.39041677,13.4,407.7702222,40.77702222,18.2,437.4331777,43.74331777,9.6,348.9533796,34.89533796,12.4,449.7755925,44.97755925,13.2,425.6510647,42.56510647
39,11.9,352.5768439,35.25768439,13.4,455.008977,45.5008977,14.8,406.7040174,40.67040174,17.2,436.836428,43.6836428,19.5,349.4696184,34.94696184,11.4,449.3774362,44.93774362,11.6,425.2062394,42.52062394
40,12.6,352.1749271,35.21749271,13.4,456.1187755,45.61187755,11.2,405.6740941,40.56740941,16.2,436.2983281,43.62983281,19.8,349.9883382,34.99883382,12,448.9825073,44.89825073,12.2,424.7504405,42.47504405
41,12.4,351.7774198,35.17774198,12,457.2308282,45.72308282,13,404.6814072,40.46814072,19.2,435.8300704,43.58300704,21,350.5096043,35.05096043,11.6,448.5908906,44.85908906,0,424.2882211,42.42882211
42,13.8,351.3844349,35.13844349,14,458.3423999,45.83423999,13.8,403.7269113,40.37269113,16.8,435.4428475,43.54428475,22,351.0334819,35.10334819,11.2,448.202671,44.8202671,11.8,423.8241341,42.38241341
43,13.4,350.9960856,35.09960856,14.4,459.4507556,45.94507556,15.6,402.8115612,40.28115612,18,435.1478521,43.51478521,19.8,351.5600364,35.15600364,11.4,447.8179335,44.78179335,11,423.3627324,42.33627324
44,13,350.6124848,35.06124848,12,460.55316,46.055316,16.6,401.9363118,40.19363118,19.8,434.9562768,43.49562768,22.6,352.0893331,35.20893331,10.6,447.4367631,44.74367631,8.2,422.908569,42.2908569
45,10.7,350.2337457,35.02337457,14,461.6468781,46.16468781,11,401.1021178,40.11021178,16.4,434.8793141,43.48793141,19.6,352.6214371,35.26214371,8.8,447.0592446,44.70592446,10.2,422.4661969,42.24661969
46,13.5,349.8599813,34.98599813,15,462.7291747,46.27291747,12.4,400.3099339,40.03099339,15,434.9281566,43.49281566,20.2,353.1564139,35.31564139,11.4,446.6854629,44.66854629,8,422.040169,42.2040169
47,13.8,349.4913047,34.94913047,14,463.7973147,46.37973147,11.6,399.560715,39.9560715,17,435.1139969,43.51139969,17.2,353.6943287,35.36943287,11,446.3155031,44.63155031,12.4,421.6350383,42.16350383
48,13.6,349.127829,34.9127829,14,464.848563,46.4848563,13.2,398.8554159,39.88554159,17.4,435.4480276,43.54480276,19.8,354.2352468,35.42352468,2.8,445.94945,44.594945,13.2,421.2553578,42.12553578
49,12,348.7696671,34.87696671,12,465.8801844,46.58801844,13,398.1949912,39.81949912,13.6,435.9414413,43.59414413,19,354.7792335,35.47792335,10.4,445.5873886,44.55873886,14.2,420.9056803,42.09056803
50,14.8,348.4169322,34.84169322,11.2,466.8894439,46.68894439,13.8,397.5803958,39.75803958,10,436.6054307,43.66054307,16.8,355.3263541,35.53263541,11,445.2294037,44.52294037,13.8,420.5905589,42.05905589
51,12.8,348.0697373,34.80697373,14.6,467.8736062,46.78736062,14.4,397.0125845,39.70125845,15.8,437.4511881,43.74511881,18.2,355.8766739,35.58766739,7.4,444.8755804,44.48755804,9.8,420.3145465,42.03145465
52,13.7,347.7281955,34.77281955,14.2,468.8299364,46.88299364,12,396.492512,39.6492512,15.8,438.4899064,43.84899064,19,356.4302581,35.64302581,7.6,444.5260035,44.45260035,12.4,420.0821961,42.00821961
53,14.9,347.3924198,34.73924198,13.2,469.7556992,46.97556992,10.2,396.0211332,39.60211332,11.8,439.732778,43.9732778,16.6,356.987172,35.6987172,9.8,444.180758,44.4180758,13.8,419.8980606,41.98980606
54,11.8,347.0625234,34.70625234,11.6,470.6481595,47.06481595,10.6,395.5994027,39.55994027,11.8,441.1909956,44.11909956,17.2,357.547481,35.7547481,10.5,443.8399288,44.38399288,7.4,419.7666931,41.97666931
55,12.8,346.7386192,34.67386192,14.4,471.5045822,47.15045822,15.2,395.2282754,39.52282754,3.4,442.8757517,44.28757517,18.1,358.1112503,35.81112503,8.2,443.5036009,44.35036009,13.2,419.6926464,41.96926464
56,12.4,346.4208203,34.64208203,12.6,472.3222578,47.23222578,13.8,394.908706,39.4908706,14.4,444.7978472,44.47978472,18.2,358.6785452,35.86785452,9.2,443.1718591,44.31718591,13.6,419.6804735,41.96804735
57,13.4,346.1092399,34.61092399,0,473.0994695,47.30994695,11.4,394.6416494,39.46416494,13,446.9530221,44.69530221,17.6,359.249431,35.9249431,12.6,442.8447883,44.28447883,10,419.7347273,41.97347273
58,12.6,345.8039909,34.58039909,0,473.8357905,47.38357905,12.4,394.4280602,39.44280602,15.8,449.3174571,44.93174571,15.2,359.8239731,35.98239731,5.2,442.5224737,44.25224737,8.4,419.859961,41.9859961
59,13,345.5051864,34.55051864,0,474.5308804,47.45308804,13.8,394.2688934,39.42688934,15.2,451.866019,45.1866019,18.6,360.4022366,36.04022366,9.4,442.2049999,44.22049999,7.6,420.0607273,42.00607273
60,9.7,345.2129395,34.52129395,0,475.1843984,47.51843984,11.8,394.1651036,39.41651036,14.8,454.5735746,45.45735746,18.3,360.9842868,36.09842868,12.6,441.8924521,44.18924521,11.1,420.3415792,42.03415792
61,12,344.9273632,34.49273632,0,475.7960039,47.57960039,13.4,394.1176456,39.41176456,16.4,457.4149908,45.74149908,17.4,361.5701891,36.15701891,17.2,441.584915,44.1584915,13.2,420.7070698,42.07070698
62,11.4,344.6485706,34.46485706,0,476.3653564,47.63653564,12.8,394.1274742,39.41274742,17,460.3651341,46.03651341,15.8,362.1600088,36.21600088,16.8,441.2824737,44.12824737,11.8,421.1616922,42.11616922
63,11.6,344.3766748,34.43766748,0,476.8921153,47.68921153,10,394.1955442,39.41955442,16.6,463.3988715,46.33988715,14.8,362.7538111,36.27538111,17.4,440.9852131,44.09852131,15,421.7062883,42.17062883
64,11.4,344.1117888,34.41117888,14,477.3759399,47.73759399,9.8,394.3228103,39.43228103,17.4,466.4910697,46.64910697,17.2,363.3516614,36.33516614,8.8,440.693218,44.0693218,12.2,422.3360371,42.23360371
65,12,343.8540257,34.38540257,13,477.8164897,47.78164897,12.2,394.5102274,39.45102274,5,469.6165954,46.96165954,15.6,363.9536248,36.39536248,10.4,440.4065735,44.04065735,13.2,423.0456329,42.30456329
66,12.2,343.6034985,34.36034985,15,478.213424,47.8213424,13.6,394.7587502,39.47587502,9.8,472.7503155,47.27503155,13.8,364.5597668,36.45597668,10.2,440.1253644,44.01253644,13.6,423.82977,42.382977
67,12.5,343.3603204,34.33603204,14,478.5664023,47.85664023,12.6,395.0693335,39.50693335,17,475.8670967,47.58670967,18,365.1701525,36.51701525,5.2,439.8496757,43.98496757,9.1,424.6831428,42.46831428
68,11.6,343.1246043,34.31246043,15,478.875084,47.8875084,12.6,395.4429321,39.54429321,21.2,478.9418057,47.89418057,16.8,365.7848473,36.57848473,10,439.5795924,43.95795924,12.6,425.6004456,42.56004456
69,10.6,342.8964634,34.28964634,14.5,479.1391284,47.91391284,11.2,395.8805006,39.58805006,16,481.9493094,48.19493094,17.4,366.4039166,36.64039166,9.8,439.3151992,43.93151992,10,426.5763728,42.65763728
70,12.2,342.6760106,34.26760106,13.4,479.3581949,47.93581949,0,396.3827863,39.63827863,17,484.8644745,48.48644745,15.6,367.0274254,36.70274254,5.8,439.0565813,43.90565813,12,427.6056187,42.76056187
71,16.2,342.4633591,34.24633591,14,479.5319431,47.95319431,10.6,396.9487282,39.69487282,16.2,487.6621677,48.76621677,17.2,367.6554392,36.76554392,10.8,438.8038234,43.88038234,11.2,428.6828776,42.86828776
72,13.6,342.2586219,34.22586219,14,479.6600321,47.96600321,10.8,397.5763344,39.75763344,15.8,490.317256,49.0317256,13.2,368.2880233,36.82880233,8.8,438.5570106,43.85570106,10.4,429.8028439,42.98028439
73,12.1,342.0619121,34.20619121,14,479.7421215,47.97421215,11,398.2636053,39.82636053,15.4,492.8046059,49.28046059,18,368.9252429,36.89252429,9,438.3162277,43.83162277,11.2,430.9602119,43.09602119
74,13.1,341.8733428,34.18733428,14.8,479.7778707,47.97778707,10.8,399.0085415,39.90085415,14.6,495.0990843,49.50990843,15.8,369.5671633,36.95671633,9,438.0815597,43.80815597,9.9,432.1496759,43.21496759
75,12.4,341.6930269,34.16930269,18,479.766939,47.9766939,17.4,399.8091434,39.98091434,14.6,497.175558,49.7175558,20.5,370.2138498,37.02138498,7.4,437.8530915,43.78530915,13,433.3659303,43.33659303
76,11.8,341.5210776,34.15210776,14,479.7089859,47.97089859,16.4,400.6634115,40.06634115,13.3,499.0088938,49.90088938,16.8,370.8653677,37.08653677,8.6,437.630908,43.7630908,10.9,434.6036695,43.46036695
77,14.4,341.357608,34.1357608,13.4,479.6036707,47.96036707,13.8,401.5693462,40.15693462,10,500.5739583,50.05739583,13.9,371.5217823,37.15217823,9,437.4150943,43.74150943,14,435.8575877,43.58575877
78,12.6,341.202731,34.1202731,14.8,479.4506529,47.94506529,14.2,402.524948,40.2524948,15.9,501.8456184,50.18456184,12.4,372.1831589,37.21831589,6,437.2057351,43.72057351,12.2,437.1223794,43.71223794
79,12.6,341.0565598,34.10565598,13.4,479.2495918,47.92495918,10.2,403.5282174,40.35282174,15.4,502.7987409,50.27987409,13.2,372.8495627,37.28495627,8.2,437.0029155,43.70029155,11.8,438.3927388,43.83927388
80,13.3,340.9192073,34.09192073,14.4,479.0001469,47.90001469,15.4,404.5771548,40.45771548,17.4,503.4081924,50.34081924,13.6,373.5210591,37.35210591,12.4,436.8067203,43.68067203,15.4,439.6633603,43.96633603
81,13.6,340.7907868,34.07907868,13.8,478.7019775,47.87019775,10.8,405.6697607,40.56697607,14.8,503.6488399,50.36488399,17.2,374.1977133,37.41977133,9.2,436.6172345,43.66172345,11.9,440.9289382,44.09289382
82,12.2,340.6714112,34.06714112,13.8,478.3547431,47.83547431,9.9,406.8040355,40.68040355,11.8,503.49555,50.349555,16.8,374.8795906,37.48795906,8.6,436.434543,43.6434543,12.8,442.1841668,44.21841668
83,12.8,340.5611936,34.05611936,14,477.9581031,47.79581031,3.6,407.9779797,40.79779797,13,502.9231963,50.29231963,20,375.5667564,37.55667564,8.8,436.2587308,43.62587308,10.2,443.4237406,44.34237406
84,14,340.460247,34.0460247,13.4,477.5129533,47.75129533,8.6,409.1895938,40.91895938,13.4,501.9198175,50.19198175,18.4,376.2592759,37.62592759,9.4,436.0898827,43.60898827,12.8,444.6423538,44.46423538
85,11.6,340.3686846,34.03686846,13.2,477.0238962,47.70238962,13.2,410.4368782,41.04368782,17,500.5126878,50.05126878,19,376.9572144,37.69572144,13.4,435.9280838,43.59280838,11.8,445.8347008,44.58347008
86,13,340.2866193,34.02866193,14.4,476.496209,47.6496209,12.6,411.7178334,41.17178334,16,498.7362977,49.87362977,19.6,377.6606372,37.76606372,9.8,435.7734188,43.57734188,12,446.9954759,44.69954759
87,12.8,340.2141643,34.02141643,13.6,475.9351688,47.59351688,12.4,413.0304599,41.30304599,11,496.6251378,49.66251378,12.8,378.3696095,37.83696095,8.4,435.6259729,43.56259729,14.4,448.1193734,44.81193734
88,13.9,340.1514326,34.01514326,14.2,475.3460528,47.53460528,11,414.3727581,41.43727581,9,494.2136987,49.42136987,17,379.0841967,37.90841967,4.8,435.4858308,43.54858308,11.7,449.2010878,44.92010878
89,11.8,340.0985372,34.00985372,13,474.7341381,47.47341381,15.1,415.7427284,41.57427284,8.2,491.5364708,49.15364708,12.8,379.8044641,37.98044641,12,435.3530775,43.53530775,11.8,450.2353133,45.02353133
90,13.2,340.0555913,34.00555913,14.6,474.1047019,47.41047019,9.4,417.1383715,41.71383715,12,488.6279448,48.86279448,6.4,380.5304769,38.05304769,9.2,435.227798,43.5227798,12.6,451.2167443,45.12167443
91,11.6,340.0227079,34.00227079,14,473.4630215,47.34630215,8.4,418.5576876,41.85576876,14,485.5226111,48.55226111,13.8,381.2623004,38.12623004,8.8,435.1100772,43.51100772,13.2,452.1400751,45.21400751
92,14.4,340,34,9,472.8143739,47.28143739,10.4,419.9986772,41.99986772,13.8,482.2549603,48.22549603,14.2,382,38.2,8.4,435,43.5,12.2,453,45.3
93,15,339.9875473,33.99875473,14,472.1640363,47.21640363,12.2,421.459341,42.1459341,13,478.859483,47.8859483,12.2,382.743569,38.2743569,12.2,434.8976195,43.48976195,10.8,453.7932582,45.37932582
94,13.8,339.9852956,33.99852956,9,471.5172859,47.15172859,11.4,422.9376792,42.29376792,10.4,475.3706696,47.53706696,10.6,383.492713,38.3492713,8.2,434.8028613,43.48028613,10.8,454.5245854,45.45245854
95,14,339.9931574,33.99931574,14,470.8793999,47.08793999,11.2,424.4316923,42.44316923,10.8,471.8230108,47.18230108,12.4,384.2470658,38.42470658,8.6,434.7156194,43.47156194,10.4,455.2007623,45.52007623
96,13,340.011045,34.0011045,11.2,470.2556554,47.02556554,11.4,425.9393809,42.59393809,13,468.250997,46.8250997,21.2,385.0062611,38.50062611,8.2,434.6357875,43.46357875,8.2,455.8285695,45.58285695
97,13.4,340.0388709,34.00388709,12,469.6513296,46.96513296,9.6,427.4587453,42.74587453,17,464.6891188,46.46891188,20.6,385.7699328,38.57699328,7.4,434.5632595,43.45632595,11.4,456.4147876,45.64147876
98,14.8,340.0765475,34.00765475,11.2,469.0716996,46.90716996,11,428.9877861,42.89877861,13.6,461.1718668,46.11718668,13.4,386.5377144,38.65377144,7.8,434.4979292,43.44979292,13,456.9661971,45.69661971
99,14.6,340.1239873,34.01239873,11,468.5220426,46.85220426,13.2,430.5245037,43.05245037,14.2,457.7337314,45.77337314,15.6,387.3092399,38.73092399,7.8,434.4396905,43.44396905,10.6,457.4895787,45.74895787
100,13.8,340.1811025,34.01811025,10,468.0076359,46.80076359,12,432.0668986,43.20668986,10.8,454.4092033,45.44092033,5,388.0841428,38.80841428,6.4,434.3884372,43.43884372,10.4,457.9917129,45.79917129
101,13.9,340.2478057,34.02478057,12,467.5337565,46.75337565,11.2,433.6129712,43.36129712,12.8,451.2327729,45.12327729,16,388.8620571,38.88620571,9.4,434.3440631,43.43440631,10.81,458.4793803,45.84793803
102,13.4,340.3240093,34.03240093,11.2,467.1056816,46.71056816,9.8,435.1607219,43.51607219,12.2,448.2389309,44.82389309,13,389.6426163,38.96426163,9,434.3064622,43.43064622,11.3,458.9593616,45.89593616
103,12.8,340.4096256,34.04096256,13.2,466.7286884,46.67286884,13.8,436.7081514,43.67081514,13.7,445.4621677,44.54621677,8,390.4254543,39.04254543,8.1,434.2755281,43.42755281,11.4,459.4384373,45.94384373
104,12.8,340.5045672,34.05045672,12.6,466.408054,46.6408054,7.6,438.2532599,43.82532599,13.2,442.9369739,44.29369739,11.8,391.2102047,39.12102047,8,434.2511548,43.42511548,11,459.9233881,45.99233881
105,11.6,340.6087464,34.06087464,16,466.1490557,46.61490557,11,439.794048,43.9794048,13.8,440.69784,44.069784,6.8,391.9965015,39.19965015,0,434.2332362,43.42332362,13.6,460.4209944,46.04209944
106,11.6,340.7220756,34.07220756,11.8,465.9569705,46.59569705,9.8,441.3285162,44.13285162,11.2,438.7792566,43.87792566,15.1,392.7839782,39.27839782,10.6,434.2216659,43.42216659,9.6,460.938037,46.0938037
107,12.4,340.8444672,34.08444672,8.2,465.8370757,46.58370757,10.5,442.8546648,44.28546648,5.2,437.2157142,43.72157142,16.6,393.5722686,39.35722686,6.8,434.2163379,43.42163379,12.4,461.4812963,46.14812963
108,11.9,340.9758337,34.09758337,15,465.7946485,46.57946485,13,444.3704944,44.43704944,12,436.0417034,43.60417034,14,394.3610065,39.43610065,6,434.2171461,43.42171461,10.6,462.0575531,46.20575531
109,12.5,341.1160875,34.11160875,11,465.8349659,46.58349659,15.8,445.8740055,44.58740055,13.2,435.2917146,43.52917146,16,395.1498256,39.51498256,6.6,434.2239842,43.42239842,12,462.6735878,46.26735878
110,12.6,341.265141,34.1265141,13.6,465.9633051,46.59633051,14.1,447.3631984,44.73631984,10.4,435.0002385,43.50002385,13,395.9383596,39.59383596,5,434.2367461,43.42367461,7.8,463.3361811,46.33361811
111,13,341.4229067,34.14229067,14.4,466.1837732,46.61837732,10.2,448.8360737,44.88360737,8.8,435.1960225,43.51960225,14.2,396.7262424,39.67262424,8.6,434.2553256,43.42553256,9.8,464.0521136,46.40521136
112,10.2,341.5892968,34.15892968,14,466.4918703,46.64918703,12.8,450.2906318,45.02906318,0,435.8652893,43.58652893,11,397.5131076,39.75131076,4.4,434.2796167,43.42796167,13.4,464.8281658,46.48281658
113,13.8,341.7642239,34.17642239,10.6,466.8792332,46.68792332,16.2,451.7248731,45.17248731,13.2,436.9752131,43.69752131,12.2,398.298589,39.8298589,7.2,434.309513,43.4309513,11.8,465.6711184,46.56711184
114,13,341.9476004,34.19476004,11,467.3374791,46.73374791,14.6,453.1367982,45.31367982,10.8,438.4928805,43.84928805,15.8,399.0823203,39.90823203,8.2,434.3449084,43.43449084,11.4,466.587752,46.6587752
115,12.3,342.1393387,34.21393387,11,467.8582256,46.78582256,12.2,454.5244075,45.45244075,10.8,440.3853778,44.03853778,14.2,399.8639353,39.98639353,7.2,434.3856969,43.43856969,13,467.5848471,46.75848471
116,12.3,342.3393512,34.23393512,13.8,468.43309,46.843309,12.2,455.8857015,45.58857015,13.4,442.6197918,44.26197918,12.8,400.6430677,40.06430677,7,434.4317722,43.44317722,11.9,468.6691843,46.86691843
117,14.4,342.5475503,34.25475503,14,469.0536896,46.90536896,13.4,457.2186806,45.72186806,13.6,445.1632089,44.51632089,15,401.4193513,40.14193513,6.3,434.4830281,43.44830281,9.6,469.8475443,46.98475443
118,10.6,342.7638484,34.27638484,15.5,469.7116419,46.97116419,12.6,458.5213453,45.85213453,12.2,447.9827155,44.79827155,16.4,402.1924198,40.21924198,5.6,434.5393586,43.45393586,12.4,471.1267076,47.11267076
119,15,342.988158,34.2988158,15,470.3985642,47.03985642,11.8,459.791696,45.9791696,7.8,451.0453983,45.10453983,13,402.961907,40.2961907,9.4,434.6006574,43.46006574,12.2,472.5134548,47.25134548
120,13.43,343.2203914,34.32203914,12,471.106074,47.1106074,13.2,461.0277332,46.10277332,13.4,454.3183438,45.43183438,14.4,403.7274465,40.37274465,9.2,434.6668184,43.46668184,13.4,474.0145665,47.40145665
121,12.4,343.4604612,34.34604612,14.3,471.8257886,47.18257886,8.6,462.2274574,46.22274574,14.2,457.7686384,45.77686384,16,404.4886722,40.44886722,7.4,434.7377354,43.47377354,9.4,475.6368234,47.56368234
122,11.6,343.7082796,34.37082796,13.2,472.5493253,47.25493253,9.8,463.3888691,46.33888691,9.6,461.3633686,46.13633686,12.4,405.2452178,40.52452178,10.8,434.8133023,43.48133023,11.2,477.3870059,47.73870059
123,12.4,343.9637592,34.39637592,12,473.2683017,47.32683017,10.2,464.5099686,46.45099686,13.4,465.0696211,46.50696211,11.6,405.996717,40.5996717,6.2,434.8934128,43.48934128,10.4,479.2707348,47.92707348
124,12.2,344.2268123,34.42268123,12,473.974335,47.3974335,10.8,465.5887565,46.55887565,12.2,468.8544823,46.88544823,11.9,406.7428035,40.67428035,6.7,434.9779609,43.49779609,9.8,481.2800402,48.12800402
